Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
So Smart in Their Fine Uniforms,Kurt Busiek,Carlos Pacheco,9781401202996,paperback,to-read,2024/08/06,"","",0,"",,,,,,,,,"",,"",No
El extranjero,"José Ángel Valente, Albert Camus","","",digital,read,2016/11/26,2016/11/28,2016/11/28,1,"",,,,,,,4.0,,"",,"",No
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"",0553213458,paperback,read,2016/01/25,"","",1,"",,,,,,,5.0,,"",,"",No
Tales of Terror: 58 Short Stories Chosen by the Master of Suspense,"Talmage Powell, Edward Wellen, Robert Colby, Theodore Mathieson, Bob Bristow, Richard O. Lewis, John Coyne, Charlotte Edwards, Bryce Walton, Michael Brett, Samuel W. Taylor, Brian Garfield, Harold Q. Masur, John Lutz, Betty Ren Wright, Michael Zuroy, Alice Scanlan Reach, Arthur Porges, Clayton Matthews, James M. Gilmore, Alfred Hitchcock, Al Nussbaum, Robert W. Alexander, Pauline C. Smith, Nedra Tyre, Donald Olson, William Brittain, Vincent McConnor, John F. Suter, Gary Brandner, Patricia Matthews, Mary Braund, Nelson DeMille, William P. McGivern, James Holding, Stephen Wasylyk, Barry N. Malzberg, Isak Romun, S.S. Rafferty, Helen Nielsen, Fletcher Flora, Irving Schiffer, Margaret B. Maron, Borden Deal, Libby MacCall, Jack Ritchie, Frank Sisk, Eleanor Sullivan, Hal Ellson, Donald Honig","",,hardcover,to-read,2025/07/28,"","",0,"",,,,,,,,,"",,"",No
Un escándalo en Bohemia,Arthur Conan Doyle,"",9781979475853,paperback,read,2018/08/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Complete Robot Part 2 of 2,Isaac Asimov,"",9785557082372,audio,read,2020/03/23,2020/04/20,2020/04/20,1,"",,,,,,,5.0,,"",,"",No
Love in the Time of Cholera,Gabriel García Márquez,Edith Grossman (Translator),9781400034680,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,"It was an interesting take on the usual love story. And what I think put it over the edge for me in comparison to other novels that are centered on a singular love story is that the middle was actually enjoyable. And I don't mean to say that I don't like other novels with love stories or that the other ones are bad. But I sort of expected the classic story: boy-meets-girl, long interlude of sometime unnecessary problems, boy-gets-girl. And the take on the story and the compelling protagonist kept me entertained the whole way.","",,"",No
La tía Julia y el escribidor,Mario Vargas Llosa,"",9788466368520,paperback,read,2016/04/07,2016/04/15,2016/04/15,1,"",,,,,,,5.0,,"",,"",No
Las batallas en el desierto,José Emilio Pacheco,"",9789684114739,paperback,read,2015/10/17,2025/07/27,"2025/07/27-2025/07/27, 2016/11/28",2,"",,,,,,,5.0,,"",,"",No
New Hope for the Dead,Charles Willeford,"",9781400032495,paperback,to-read,2024/06/15,"","",0,"",,,,,,,,,"",,"",No
Rebel of the Sands,Alwyn Hamilton,"",9780451477538,hardcover,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
La ciudad y los perros,Mario Vargas Llosa,"",9788466309158,paperback,read,2015/10/17,2016/01/25,2016/01/25,2,"",,,,,,,5.0,"Enorme Vargas Llosa de nuevo. No tenia planeado seguir leyendolo despues de la decepcion de su mas reciente libro. Sin embargo, le di otro chance y pago dividendos. Uno de sus mejores libros y muy recomendable","",,"",No
Harry Potter and the Deathly Hallows,J.K. Rowling,"",9781408894743,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
Harry Potter and the Order of the Phoenix,J.K. Rowling,"",9781408855690,paperback,read,2015/10/08,"","",1,"",,,,,,,3.0,,"",,"",No
Night Prey,John Sandford,"",9780006478966,paperback,read,2024/04/19,2024/05/15,2024/05/15,1,"",,,,,,,3.0,,"",,"",No
A Connecticut Yankee in King Arthur's Court,Mark Twain,"T.E.D. Klein, Joseph Ciardiello",9780895771858,hardcover,read,2015/10/07,2015/10/22,2015/10/22,1,"",,,,,,,3.0,"Not my cup of tea. Quite funny but I don't think it has aged well. Still, every word written by Mark Twain is worth reading because he was such a funny guy.","",,"",No
If It Bleeds,Stephen King,"","",hardcover,to-read,2025/09/06,"","",0,"",,,,,,,,,"",,"",No
La invención de Morel,Adolfo Bioy Casares,"",9780140260847,paperback,read,2024/08/20,2024/08/25,2024/08/25,1,"",,,,,,,4.0,,"",,"",No
A Christmas Carol,Charles Dickens,Joe L. Wheeler,9781561797462,paperback,read,2015/10/07,"","",1,"",,,,,,,4.0,Great book. A bit dated tho.,"",,"",No
Silver Blaze,Arthur Conan Doyle,"",9791680000,paperback,read,2018/10/29,2018/10/30,2018/10/30,1,"",,,,,,,4.0,,"",,"",No
No sin Nosotros: Los dias del terremoto 1985-2005,Carlos Monsiváis,"",9789684116412,paperback,to-read,2016/06/20,"","",0,"",,,,,,,,,"",,"",No
The Complete Eightball 1-18,Daniel Clowes,"",9781606997574,hardcover,to-read,2021/07/14,"","",0,"",,,,,,,,,"",,"",No
The Fifth to Die,J.D. Barker,"",9780544980662,digital,read,2019/09/05,2019/09/11,2019/09/11,1,"",,,,,,,3.0,,"",,"",No
The Color of Magic,Terry Pratchett,"",9780060855925,paperback,to-read,2016/07/04,"","",0,"",,,,,,,,,"",,"",No
The Silver Chair,C.S. Lewis,"",9780007323098,paperback,read,2015/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Night Buffalo,Guillermo Arriaga,Alan Page (Translator),9780743281867,paperback,to-read,2016/11/11,"","",0,"",,,,,,,,,"",,"",No
Among the Burning Flowers,Samantha Shannon,Rovina Cai (Illustrator),9781526685254,hardcover,to-read,2025/07/29,"","",0,"",,,,,,,,,"",,"",No
Estas ruinas que ves,Jorge Ibargüengoitia,"",9789682704390,paperback,read,2024/08/25,2024/10/31,2024/10/31,1,"",,,,,,,5.0,,"",,"",No
