Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
News of a Kidnapping,Gabriel García Márquez,Edith Grossman,9780140267839,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
Things You Save in a Fire,Katherine Center,"",9781250047328,hardcover,to-read,2019/07/08,"","",0,"",,,,,,,,,"",,"",No
All the Ugly and Wonderful Things,Bryn Greenwood,"",9781466885806,digital,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
Fahrenheit 451,Ray Bradbury,Penn Badgley (Narrator),B0F4THQP9L,audio,read,2023/11/01,"","",1,"",,,,,,,5.0,,"",,"",No
Relentless,R.A. Salvatore,"",9780062688675,hardcover,to-read,2021/02/09,"","",0,"",,,,,,,,,"",,"",No
Posdata,Octavio Paz,"",9789682316135,paperback,read,2015/10/17,"","",1,"",,,,,,,4.0,,"",,"",No
The Appeal,John Grisham,"",9780385515047,hardcover,read,2019/08/23,2019/08/24,2019/08/24,1,"",,,,,,,4.0,,"",,"",No
The Disappearance of Mr. Davenheim: a Hercule Poirot Short Story,Agatha Christie,"",,hardcover,read,2018/10/10,2018/10/10,2018/10/10,1,"",,,,,,,3.0,,"",,"",No
Matchmaking for Beginners,Maddie Dawson,"",9781503900684,hardcover,read,2019/07/21,2019/07/21,2019/07/21,1,"",,,,,,,2.0,,"",,"",No
The Fiancée,Kate White,"",9780062945419,paperback,to-read,2021/08/25,"","",0,"",,,,,,,,,"",,"",No
"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday,"",9781591845539,hardcover,read,2016/11/02,2016/11/28,2016/11/28,1,"",,,,,,,4.0,,"",,"",No
Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,Tamim Ansary (Narrator),9781433272264,audio,read,2024/03/14,2024/08/30,2024/08/30,1,"",,,,,,,5.0,,"",,"",No
Red Rising,Pierce Brown,"",9780345539786,hardcover,to-read,2017/11/30,"","",0,"",,,,,,,,,"",,"",No
The Valley of Fear,Arthur Conan Doyle,David Timson (Narrator),9789626344248,audio,read,2019/04/16,2019/04/30,2019/04/30,1,"",,,,,,,4.0,,"",,"",No
Stoner,John Williams,John McGahern (Contributor),9781590171998,paperback,read,2024/05/02,2024/08/18,2024/08/18,1,"",,,,,,,2.0,,"",,"",No
Walt Whitman: The Complete Poems,Walt Whitman,"",9780140424515,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
Mrs. Dalloway,Virginia Woolf,Maureen Howard,9780151009985,hardcover,read,2015/10/07,2021/01/22,2021/01/22,2,"",,,,,,,5.0,Really really good.,"",,"",No
Punk 57,Penelope Douglas,"",9781539427766,paperback,to-read,2020/07/17,"","",0,"",,,,,,,,,"",,"",No
The Jaws Log,Carl Gottlieb,Peter Benchley,9781557046772,hardcover,to-read,2023/07/22,"","",0,"",,,,,,,,,"",,"",No
Siege of Darkness,R.A. Salvatore,"",9780786901647,paperback,read,2021/02/09,2021/07/19,2021/07/19,1,"",,,,,,,4.0,,"",,"",No
Will My Cat Eat My Eyeballs?: Big Questions from Tiny Mortals about Death,Caitlin Doughty,Dianné Ruz (Illustrator),9780393652703,hardcover,to-read,2019/12/12,"","",0,"",,,,,,,,,"",,"",No
The Adventure of the Stockbroker's Clerk,Arthur Conan Doyle,"Sidney Paget (Illustrator), The Gunston Trust",9781717482174,paperback,read,2018/10/31,2018/11/19,2018/11/19,1,"",,,,,,,4.0,,"",,"",No
The Rise and Fall of the Dinosaurs: A New History of a Lost World,Steve Brusatte,"",9780062490421,hardcover,to-read,2024/05/02,"","",0,"",,,,,,,,,"",,"",No
The Adventures of Huckleberry Finn,Mark Twain,"",9780142437179,paperback,read,2015/10/17,"","",1,"",,,,,,,5.0,,"",,"",No
Mr. Perfect,Linda Howard,"",9780743482882,paperback,read,2019/02/11,2019/07/08,2019/07/08,1,"",,,,,,,3.0,,"",,"",No
Innocent Erendira and Other Stories,Gabriel García Márquez,"",9780060751586,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
Nothing to See Here,Kevin Wilson,"",9780062913487,digital,to-read,2019/11/27,"","",0,"",,,,,,,,,"",,"",No
Queenie,Candice Carty-Williams,"",9781501196010,hardcover,to-read,2019/11/06,"","",0,"",,,,,,,,,"",,"",No
The Overcoat,Nikolai Gogol,"",9781419176524,paperback,to-read,2025/01/17,"","",0,"",,,,,,,,,"",,"",No
A Visit from the Goon Squad,Jennifer Egan,"",9780307592835,hardcover,to-read,2023/10/13,"","",0,"",,,,,,,,,"",,"",No
Mythago Wood,Robert Holdstock,"",9780765307293,paperback,to-read,2021/07/14,"","",0,"",,,,,,,,,"",,"",No
Divergent,Veronica Roth,"",9780062024039,paperback,read,2015/10/08,"","",1,"",,,,,,,2.0,,"",,"",No
Josh and Hazel's Guide to Not Dating,Christina Lauren,"",9781501165856,paperback,read,2019/02/11,2019/05/03,2019/05/03,1,"",,,,,,,3.0,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,,"",,"",No
Stardust,Neil Gaiman,"",9780061142024,paperback,read,2017/02/16,2017/02/28,2017/02/28,1,"",,,,,,,5.0,,"",,"",No
SPQR: A History of Ancient Rome,Mary Beard,"",9781631492228,paperback,read,2024/03/15,2024/06/24,2024/06/24,1,"",,,,,,,4.0,,"",,"",No
You Know You Want This,Kristen Roupenian,"",9781982101633,hardcover,to-read,2019/03/05,"","",0,"",,,,,,,,,"",,"",No
The Caves of Steel,Isaac Asimov,"","",digital,read,2015/10/08,2020/04/23,2020/04/23,2,"",,,,,,,4.0,,"",,"",No
Turkish Delight,Jan Wolkers,Sam Garrett (Translator),9781941040478,paperback,to-read,2025/05/30,"","",0,"",,,,,,,,,"",,"",No
The Naval Treaty,Arthur Conan Doyle,Edward Raleigh,9780886468804,audio,read,2018/12/26,2019/01/12,2019/01/12,1,"",,,,,,,4.0,,"",,"",No
The Girl Who Played with Fire,Stieg Larsson,Reg Keeland (Translator),9780307269980,hardcover,read,2017/11/30,2024/05/03,2024/05/03,1,"",,,,,,,4.0,,"",,"",No
the mermaid's voice returns in this one,Amanda Lovelace,ladybookmad,9781524852313,digital,to-read,2019/12/07,"","",0,"",,,,,,,,,"",,"",No
The Thing About Jellyfish,Ali Benjamin,"",9780316380867,hardcover,read,2016/05/27,2016/09/30,2016/09/30,1,"",,,,,,,5.0,,"",,"",No
Crime Of Century: Kennedy Assassination From,Michael L. Kurtz,"",9780870498244,paperback,to-read,2024/03/14,"","",0,"",,,,,,,,,"",,"",No
Truly Madly Guilty,Liane Moriarty,"",9781250069818,digital,read,2023/03/21,"","",1,"",,,,,,,4.0,,"",,"",No
There Will Come a Darkness,Katy Rose Pool,"","",paperback,to-read,2019/08/12,"","",0,"",,,,,,,,,"",,"",No
White Nights,Fyodor Dostoevsky,Constance Garnett,9781482065978,paperback,to-read,2024/01/19,"","",0,"",,,,,,,,,"",,"",No
In the Days of the Comet,H.G. Wells,"",9780898048421,paperback,to-read,2016/05/27,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Cursed Child - Parts One and Two,J.K. Rowling,"John Tiffany, Jack Thorne",9781338099133,hardcover,read,2016/12/08,2016/12/08,2016/12/08,1,"",,,,,,,4.0,,"",,"",No
The Secret Life of Sharks: A Leading Marine Biologist Reveals the Mysteries of Shark Behavior,A. Peter Klimley,"",,paperback,to-read,2025/08/26,"","",0,"",,,,,,,,,"",,"",No
"Easy Money: Cryptocurrency, Casino Capitalism, and the Golden Age of Fraud","Ben McKenzie, Jacob Silverman","",9781419766398,hardcover,read,2023/11/24,2023/12/04,2023/12/04,1,"",,,,,,,4.0,Really good if you're into the genre. I don't recommend it otherwise,"",,"",No
The Good Girl,Mary Kubica,"",9780778316558,hardcover,read,2016/06/11,2016/08/17,2016/08/17,1,"",,,,,,,3.0,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,read,2021/02/04,2021/02/28,2021/02/28,1,"",,,,,,,5.0,,"",,"",No
Off the Charts: Ruthless Days and Reckless Nights Inside the Music Industry,Bruce Haring,"",9781559723169,hardcover,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Danse Macabre,Stephen King,"",9780425181607,paperback,to-read,2024/02/16,"","",0,"",,,,,,,,,"",,"",No
Five Weeks in a Balloon,Jules Verne,"",9781421820606,hardcover,read,2015/10/08,"","",1,"",,,,,,,4.0,"Fun adventure, tho a bit dated","",,"",No
When Books Went to War: The Stories that Helped Us Win World War II,Molly Guptill Manning,"",9780544535022,hardcover,to-read,2016/05/27,"","",0,"",,,,,,,,,"",,"",No
The Mill on the Floss,George Eliot,A.S. Byatt,9780141439624,paperback,to-read,2016/01/22,"","",0,"",,,,,,,,,"",,"",No
Hell's Angels,Hunter S. Thompson,Sylvie Durastanti,9782221090732,paperback,read,2016/08/01,2017/02/02,2017/02/02,1,"",,,,,,,4.0,,"",,"",No
Three Men in a Boat,Jerome K. Jerome,Timothy Ackroyd (Narrator),9781908650924,audio,read,2016/01/25,2016/02/04,2016/02/04,1,"",,,,,,,4.0,,"",,"",No
Acid for the Children,Flea,"",9781472230829,paperback,to-read,2021/07/14,"","",0,"",,,,,,,,,"",,"",No
Timeless,R.A. Salvatore,"",9780062688590,hardcover,to-read,2021/02/09,"","",0,"",,,,,,,,,"",,"",No
Far From the Madding Crowd,Thomas Hardy,"","",paperback,read,2016/01/10,2016/01/22,2016/01/22,1,"",,,,,,,4.0,,"",,"",No
The Complete Collected Poems,Maya Angelou,"",9780679428954,hardcover,read,2016/04/25,2016/05/02,2016/05/02,1,"",,,,,,,5.0,,"",,"",No
My Absolute Darling,Gabriel Tallent,"",9780735211179,hardcover,to-read,2017/12/06,"","",0,"",,,,,,,,,"",,"",No
Strong Poison,Dorothy L. Sayers,"",9780060809089,paperback,to-read,2017/05/24,"","",0,"",,,,,,,,,"",,"",No
Save Me the Waltz,Zelda Fitzgerald,"Lucie Mikolajková, Harry T. Moore",9780099286554,paperback,to-read,2016/08/16,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"",9780439655484,paperback,read,2015/10/08,"","",2,"",,,,,,,5.0,,"",,"",No
Almost an Evening,Ethan Coen,"",9780307460417,paperback,to-read,2023/07/22,"","",0,"",,,,,,,,,"",,"",No
The Other Valley,Scott Alexander Howard,"",9781668015476,hardcover,to-read,2024/09/14,"","",0,"",,,,,,,,,"",,"",No
Yo No Vengo a Decir Un Discurso,Gabriel García Márquez,"",9780307743459,paperback,read,2015/10/07,"","",1,"",,,,,,,3.0,,"",,"",No
The Raven,Edgar Allan Poe,Gustave Doré (Illustrator),9780486290720,paperback,to-read,2023/11/01,"","",0,"",,,,,,,,,"",,"",No
La vida ante sí,Romain Gary,"",,,read,2016/04/15,2016/04/25,2016/04/25,1,"",,,,,,,4.0,,"",,"",No
The Plymouth Express Affair [Illustrated],Agatha Christie,"","",digital,read,2018/10/15,2018/10/15,2018/10/15,1,"",,,,,,,4.0,,"",,"",No
Las niñas Del Naranjel,Gabriela Cabezón Cámara,"",9788439742630,paperback,to-read,2023/12/04,"","",0,"",,,,,,,,,"",,"",No
The Story of the Lost Child,Elena Ferrante,Ann Goldstein (Translator),9781609452865,paperback,read,2023/10/13,"","",3,"",,,,,,,5.0,,"",,"",No
El laberinto de la soledad,Octavio Paz,"",9788437633992,paperback,read,2015/10/17,"","",1,"",,,,,,,4.0,,"",,"",No
Anansi Boys,Neil Gaiman,"",9780060515195,paperback,read,2017/05/04,2017/05/18,2017/05/18,1,"",,,,,,,4.0,,"",,"",No
The Day of the Jackal,Frederick Forsyth,"",9780965018302,hardcover,read,2024/07/19,2025/07/09,2025/07/09,1,"",,,,,,,5.0,,"",,"",No
The Reigate Puzzle,Arthur Conan Doyle,"","",,read,2018/11/27,2018/11/27,2018/11/27,1,"",,,,,,,4.0,,"",,"",No
Gardens of the Moon,Steven Erikson,"",9780765348784,paperback,to-read,2021/08/13,"","",0,"",,,,,,,,,"",,"",No
The Alice Network,Kate Quinn,"",9780062654199,paperback,to-read,2020/03/31,"","",0,"",,,,,,,,,"",,"",No
The Naked Sun,Isaac Asimov,"",9780586010167,paperback,read,2015/10/08,2020/04/26,2020/04/26,2,"",,,,,,,3.0,,"",,"",No
The Mystery of Hunter's Lodge: A Short Story,Agatha Christie,"",9780062298119,digital,read,2018/10/15,2018/10/15,2018/10/15,1,"",,,,,,,3.0,,"",,"",No
Charon's Claw,R.A. Salvatore,"",9780786962235,hardcover,to-read,2021/02/09,"","",0,"",,,,,,,,,"",,"",No
The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics,Bruce Bueno de Mesquita,Alastair Smith,9781610390446,hardcover,read,2016/12/08,2017/01/18,2017/01/18,1,"",,,,,,,5.0,,"",,"",No
The Dogs I Have Kissed,Trista Mateer,"",9781514287316,paperback,to-read,2016/05/27,"","",0,"",,,,,,,,,"",,"",No
The House,Michael McDowell,"",9780380825943,paperback,read,2024/04/14,2024/07/26,2024/07/26,1,"",,,,,,,5.0,,"",,"",No
The Key to Happily Ever After,Tif Marcelo,"",9781501197581,paperback,to-read,2019/07/08,"","",0,"",,,,,,,,,"",,"",No
The Adventure of the Greek Interpreter,Arthur Conan Doyle,Hugh Bonneville (Narrator),"",audio,read,2018/12/19,2018/12/26,2018/12/26,1,"",,,,,,,5.0,,"",,"",No
Fake Date,Monica Murphy,"",9781945522208,paperback,read,2019/12/20,2019/12/25,2019/12/25,1,"",,,,,,,3.0,,"",,"",No
The Adventure of the Yellow Face: A Sherlock Holmes Short Story,"Arthur Conan Doyle, Arthur Conan Doyle","",,,read,2018/10/31,2018/10/31,2018/10/31,1,"",,,,,,,5.0,,"",,"",No
La hojarasca,Gabriel García Márquez,"",9780307350473,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9780525562023,hardcover,read,2019/11/05,2019/12/19,2019/12/19,1,"",,,,,,,4.0,,"",,"",No
An American Tragedy,Theodore Dreiser,Richard R. Lingeman,9780451527707,paperback,read,2015/10/20,2016/06/22,2016/06/22,1,"",,,,,,,4.0,,"",,"",No
The Grapes of Wrath,John Steinbeck,"",9780670016907,hardcover,to-read,2023/11/01,"","",0,"",,,,,,,,,"",,"",No
Ray Bradbury's Fahrenheit 451: The Authorized Adaptation,Ray Bradbury,Tim Hamilton (Illustrator),9780809051014,paperback,read,2015/10/08,"","",1,"",,,,,,,5.0,,"",,"",No
Personal Finance: Turning Money Into Wealth Plus New Myfinancelab with Pearson Etext -- Access Card Package,Arthur J. Keown,"",,,to-read,2025/08/01,"","",0,"",,,,,,,,,"",,"",No
Parable of the Sower,Octavia E. Butler,"",9781609807191,hardcover,to-read,2023/08/05,"","",0,"",,,,,,,,,"",,"",No
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"",9780735220683,hardcover,read,2020/04/11,2021/01/22,2021/01/22,1,"",,,,,,,5.0,,"",,"",No
The Master and Margarita,Mikhail Bulgakov,"Katherine Tiernan O'Connor (Translator), Diana Lewis Burgin (Translator)",9780679760801,paperback,read,2016/06/13,2020/08/20,2020/08/20,1,"",,,,,,,3.0,,"",,"",No
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,"","",paperback,read,2015/10/07,"","",0,"",,,,,,,,,"",,"",No
Authority,Jeff VanderMeer,"",9780374104108,paperback,read,2019/08/31,2019/11/23,2019/11/23,1,"",,,,,,,3.0,,"",,"",No
The God of the Woods,Liz Moore,"",9780593915370,paperback,to-read,2024/09/01,"","",0,"",,,,,,,,,"",,"",No
Blonde,Joyce Carol Oates,"",9782253152859,paperback,read,2016/07/12,2016/11/26,2016/11/26,1,"",,,,,,,3.0,,"",,"",No
Frankenstein,Mary Shelley,"","",paperback,read,2015/10/07,"","",1,"",,,,,,,2.0,"I appreciate everything this book has done for modern sci-fi. Still, I found it boring, preachy and convoluted.","",,"",No
The War of the End of the World,Mario Vargas Llosa,"",9780571139613,paperback,read,2015/10/17,2016/03/15,2016/03/15,1,"",,,,,,,4.0,,"",,"",No
The Last Threshold,R.A. Salvatore,"",9780786963645,hardcover,to-read,2021/02/09,"","",0,"",,,,,,,,,"",,"",No
No One Writes to the Colonel and Other Stories,Gabriel García Márquez,"",9780060751579,paperback,read,2015/10/07,"","",1,"",,,,,,,4.0,,"",,"",No
The Guest List,Lucy Foley,"",9780062868930,hardcover,to-read,2021/02/09,"","",0,"",,,,,,,,,"",,"",No
So We Read On: How The Great Gatsby Came to Be and Why It Endures,Maureen Corrigan,"",9780316230070,hardcover,to-read,2016/06/14,"","",0,"",,,,,,,,,"",,"",No
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,Ralph Leighton,9780393316049,paperback,read,2015/10/17,"","",1,"",,,,,,,4.0,,"",,"",No
La catedral del mar,Ildefonso Falcones,"",9788425340031,hardcover,to-read,2019/02/01,"","",0,"",,,,,,,,,"",,"",No
Oathbringer,Brandon Sanderson,"",9780765365293,paperback,read,2023/07/22,2023/08/08,2023/08/08,1,"",,,,,,,4.0,,"",,"",No
They Do It with Mirrors,Agatha Christie,"",9780451199904,paperback,read,2018/11/27,2018/12/19,2018/12/19,1,"",,,,,,,4.0,,"",,"",No
The Power of Babel: A Natural History of Language,John McWhorter,"",9780060520854,paperback,to-read,2024/03/10,"","",0,"",,,,,,,,,"",,"",No
A Room of One's Own,Virginia Woolf,"",9781447479192,paperback,to-read,2025/06/01,"","",0,"",,,,,,,,,"",,"",No
Calico Joe,John Grisham,"",9780385536073,hardcover,read,2024/03/27,2024/04/01,2024/04/01,1,"",,,,,,,1.0,"This is, I guess, technically, a book.","",,"",No
Legends & Lattes,Travis Baldree,"",B0B3755RV9,digital,read,2023/08/05,2023/10/20,2023/10/20,1,"",,,,,,,3.0,Cute and harmless.,"",,"",No
The Odessa File,Frederick Forsyth,"",9780553271980,paperback,read,2025/07/09,2025/08/01,2025/07/23-2025/08/01,1,"adventurous, tense",fast,Plot,No,No,No,No,4.5,"","","","",No
The Complete Robot Part 1 Of 2,Isaac Asimov,"",9780736611718,,read,2020/03/23,2020/04/20,2020/04/20,1,"",,,,,,,3.0,,"",,"",No
The Quest for the True Figure of the Earth: Ideas and Expeditions in Four Centuries of Geodesy,Michael Rand Hoare,"",9780754650201,hardcover,read,2016/02/20,2016/03/01,2016/03/01,1,"",,,,,,,3.0,,"",,"",No
La guerra,Michael McDowell,Elena Cantoni (Translator),9791255020684,digital,read,2024/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
A Darker Shade of Magic,V.E. Schwab,"",9780765376459,hardcover,read,2016/05/27,2016/09/30,2016/09/30,1,"",,,,,,,2.0,,"",,"",No
Tracing the Bones,Elise A. Miller,"",9781940716480,paperback,to-read,2020/04/13,"","",0,"",,,,,,,,,"",,"",No
"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,"",9781984856043,digital,read,2023/07/22,2023/10/19,2023/10/19,1,"",,,,,,,5.0,,"",,"",No
The Heroes,Joe Abercrombie,"",9780316123358,digital,to-read,2025/06/28,"","",0,"",,,,,,,,,"",,"",No
A Feast for Crows,George R.R. Martin,"",9780553582024,paperback,read,2015/10/08,"","",1,"",,,,,,,3.0,,"",,"",No
The Favorite Game,Leonard Cohen,"",9781400033621,paperback,read,2018/01/28,2018/08/29,2018/08/29,1,"",,,,,,,2.0,,"",,"",No
The Screwtape Letters,C.S. Lewis,Paul McCusker (Contributor),9780062023179,hardcover,read,2016/06/11,2016/09/22,2016/09/22,1,"",,,,,,,4.0,,"",,"",No
A Mango-Shaped Space,Wendy Mass,"",9780316058254,paperback,to-read,2020/04/13,"","",0,"",,,,,,,,,"",,"",No
The Graduate,Charles Webb,"",9780743456456,paperback,to-read,2016/05/27,"","",0,"",,,,,,,,,"",,"",No
Diablo Guardián,Xavier Velasco,"",9789505118335,paperback,read,2020/05/13,2020/06/27,2020/06/27,1,"",,,,,,,4.0,,"",,"",No
The Fist of God,Frederick Forsyth,"",9780553572421,hardcover,read,2025/07/09,2025/10/04,2025/09/23-2025/10/04,1,"adventurous, dark, informative, mysterious, tense",medium,Plot,No,No,Yes,It's complicated,4.0,"","","","",No
I Am Not Your Negro: A Companion Edition to the Documentary Film Directed by Raoul Peck,"James Baldwin, Raoul Peck","",9780525434696,paperback,to-read,2019/12/20,"","",0,"",,,,,,,,,"",,"",No
Fight Club,Chuck Palahniuk,"",9780393327342,paperback,read,2015/10/07,"","",1,"",,,,,,,4.0,,"",,"",No
Nightfall,"Isaac Asimov, Robert Silverberg","",9780553290998,paperback,read,2015/10/08,"","",1,"",,,,,,,5.0,,"",,"",No
Swann's Way,Marcel Proust,Lydia Davis (Translator),9780142437964,paperback,to-read,2025/06/01,"","",0,"",,,,,,,,,"",,"",No
The Demon-Haunted World,Carl Sagan,Ann Druyan,9780345409461,paperback,read,2015/11/10,"","",1,"",,,,,,,,,"",,"",No
"Red Carpet: Hollywood, China, and the Global Battle for Cultural Supremacy",Erich Schwartzel,"",9781984878991,hardcover,to-read,2023/07/22,"","",0,"",,,,,,,,,"",,"",No
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nathalia Holt,"",9780316338929,hardcover,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
La Suerte de la Consorte,Sara Sefchovich,"",9789706516435,paperback,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
It,Stephen King,"",9780450411434,paperback,read,2019/08/08,2019/10/28,2019/10/28,1,"",,,,,,,5.0,,"",,"",No
The Boscombe Valley Mystery - a Sherlock Holmes Short Story,Arthur Conan Doyle,"",,digital,read,2018/08/29,"","",1,"",,,,,,,5.0,,"",,"",No
Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker","",9780684818702,hardcover,to-read,2023/10/19,"","",0,"",,,,,,,,,"",,"",No
Station Eleven,Emily St. John Mandel,"",9780385353304,hardcover,to-read,2020/04/13,"","",0,"",,,,,,,,,"",,"",No
Eye of the Needle,Ken Follett,"",9780060748159,paperback,to-read,2025/09/08,"","",0,"",,,,,,,,,"",,"",No
The Dark Forest,Cixin Liu,Joel Martinsen (Translator),"",digital,read,2019/04/01,2019/04/16,2019/04/16,1,"",,,,,,,4.0,,"",,"",No
"Sleep: Redefine Your Rest, for Success in Work, Sport and Life",Nick Littlehales,"",9780241975978,paperback,to-read,2017/12/20,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré (Illustrator),9780439554930,hardcover,read,2015/10/08,"","",2,"",,,,,,,4.0,,"",,"",No
The Rise and Fall of the Soviet Empire,Brian Crozier,"",9780761520573,hardcover,to-read,2025/10/03,"","",0,"",,,,,,,,,"",,"",No
Of Love and Other Demons,Gabriel García Márquez,"",9780517405093,,read,2015/10/07,2020/07/23,2020/07/23-2020/07/23,1,"",,,,,,,4.0,,"",,"",No
Icarus,K. Ancrum,"",9780063285781,hardcover,to-read,2024/09/29,"","",0,"",,,,,,,,,"",,"",No
The Girl on the Train,Paula Hawkins,"",9781594633669,hardcover,read,2016/01/25,2016/05/26,2016/05/26,1,"",,,,,,,4.0,,"",,"",No
The City & the City,China Miéville,"",9780345497512,hardcover,to-read,2023/10/13,"","",0,"",,,,,,,,,"",,"",No
Our Mutual Friend,Charles Dickens,Richard Gaughan (Contributor),9780375761140,paperback,to-read,2023/11/19,"","",0,"",,,,,,,,,"",,"",No
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,"Greg Behrendt, Liz Tuccillo","",9781416947400,hardcover,read,2020/04/13,2020/04/15,2020/04/15,1,"",,,,,,,3.0,,"",,"",No
Invasion of the Body Snatchers,Jack Finney,Dean Koontz (Contributor),9780684852584,paperback,to-read,2024/03/18,"","",0,"",,,,,,,,,"",,"",No
The Rainmaker,John Grisham,"",9780099271277,paperback,read,2023/07/26,2023/10/23,2023/10/23,1,"",,,,,,,4.0,,"",,"",No
El juego del ángel,Carlos Ruiz Zafón,"",9788408112099,paperback,read,2017/06/01,2017/06/07,2017/06/07,1,"",,,,,,,3.0,Ruiz Zafón thinks he's smarter than he is. So does this novel.,"",,"",No
Where the Crawdads Sing,Delia Owens,"",9780735219113,digital,read,2020/04/11,2020/06/29,2020/06/29,1,"",,,,,,,4.0,,"",,"",No
The Left Hand of Darkness,Ursula K. Le Guin,"Charlie Jane Anders (Contributor), David Mitchell (Contributor)",9781101665398,digital,to-read,2025/07/10,"","",0,"",,,,,,,,,"",,"",No
King Lear,William Shakespeare,"","",paperback,read,2020/03/29,2020/04/18,2020/04/18,1,"",,,,,,,4.0,,"",,"",No
Starless Night,R.A. Salvatore,"",9781560768807,paperback,read,2021/02/09,2021/07/14,2021/07/14,1,"",,,,,,,4.0,,"",,"",No
Changing the Rules,Catherine Bybee,"",154200991X,digital,to-read,2021/08/27,"","",0,"",,,,,,,,,"",,"",No
Winter's Heart,Robert Jordan,"",9780812575583,paperback,read,2018/10/10,2018/10/10,2018/10/10,1,"",,,,,,,,,"",,"",No
Miracle Creek,Angie Kim,"",9780374156022,hardcover,to-read,2020/04/13,"","",0,"",,,,,,,,,"",,"",No
Inherit the Stars,James P. Hogan,"",9780345257048,paperback,to-read,2024/03/19,"","",0,"",,,,,,,,,"",,"",No
On the Shoulders of Giants: The Great Works of Physics and Astronomy,Stephen Hawking,"",9780762427321,paperback,read,2016/02/23,2015/01/01,2015/01/01,1,"",,,,,,,,,"",,"",No
The Corrections,Jonathan Franzen,"",9781841156736,paperback,to-read,2016/06/14,"","",0,"",,,,,,,,,"",,"",No
The Woman in Cabin 10,Ruth Ware,"",9781501132933,hardcover,read,2016/12/08,2017/02/16,2017/02/16,1,"",,,,,,,3.0,,"",,"",No
Journey to the Ants: A Story of Scientific Exploration,"Edward O. Wilson, Bert Hölldobler","",9780674485266,paperback,to-read,2024/07/24,"","",0,"",,,,,,,,,"",,"",No
Starling House,Alix E. Harrow,"",9781250799050,hardcover,to-read,2023/11/28,"","",0,"",,,,,,,,,"",,"",No
How to Read Literature,Terry Eagleton,"",9780300190960,hardcover,read,2017/12/12,2018/01/28,2018/01/28,1,"",,,,,,,4.0,,"",,"",No
Memories of My Melancholy Whores,Gabriel García Márquez,Edith Grossman (Translator),9781400095940,paperback,read,2015/10/07,"","",1,"",,,,,,,4.0,Not his best work but still quite enjoyable.,"",,"",No
Trigger Warning,Neil Gaiman,"",9780062330260,hardcover,read,2016/05/27,2016/08/02,2016/08/02,2,"",,,,,,,4.0,Mantengo mi reseña de hace unos años. Tiene dos o tres historias muy buenas y el resto bastante simplonas,"",,"",No
The Buzz about Bees: Biology of a Superorganism,Jürgen Tautz,David C. Sandeman (Translator),9783540787273,hardcover,to-read,2024/04/05,"","",0,"",,,,,,,,,"",,"",No
The Fortune,Michael McDowell,"",9780380827848,paperback,to-read,2024/04/14,"","",0,"",,,,,,,,,"",,"",No
The Bluest Eye,Toni Morrison,"",9780307941138,audio,read,2019/02/08,2019/06/29,2019/06/29,1,"",,,,,,,5.0,,"",,"",No
The Affair at the Victory Ball,Agatha Christie,Charles Armstrong (Narrator),9781974933273,audio,read,2018/10/10,2018/01/01,2018/01/01,1,"",,,,,,,5.0,,"",,"",No
Heracles' Bow,Madeline Miller,"","",digital,to-read,2021/02/19,"","",0,"",,,,,,,,,"",,"",No
